Étiquettes de lignes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Total général;;;
Nitrates et pesticides;9;2;6;14;3;12;7;5;39;33;28;22;36;34;40;53;61;68;70;70;84;78;51;56;57;51;53;79;48;52;52;72;53;48;38;33;22;32;27;34;26;28;1686;;;
Microbiologie;4;;;;2;9;3;3;6;15;7;8;5;12;21;39;34;64;60;42;66;40;26;40;24;22;41;30;28;43;19;49;44;23;33;18;30;19;17;14;22;17;999;;;
Qualité autres paramètres ;7;1;4;8;3;10;9;4;13;13;9;23;23;28;18;31;46;45;70;43;51;39;50;43;42;47;46;36;24;152;36;84;72;38;39;49;45;46;30;44;13;21;1455;;;
Rationalisation;7;;;2;1;15;3;4;2;4;29;17;11;15;20;46;74;95;90;80;73;62;77;66;85;74;55;61;65;292;86;138;119;162;136;269;150;137;133;116;75;125;3071;;;
Administratif;1;2;2;1;2;3;;2;2;15;10;4;9;11;8;8;19;38;40;31;43;25;13;35;33;23;36;13;24;110;39;102;108;121;112;107;117;119;88;121;127;86;1810;;;
Autres;19;3;3;6;10;14;8;5;28;34;39;34;26;40;40;42;72;99;106;82;110;87;87;77;95;81;94;106;84;311;129;168;117;176;148;146;155;199;101;163;87;148;3579;;;
Total général;47;8;15;31;21;63;30;23;90;114;122;108;110;140;147;219;306;409;436;348;427;331;304;317;336;298;325;325;273;960;361;613;513;568;506;622;519;552;396;492;350;425;12600;;;
Qualité;20;3;10;22;8;31;19;12;58;61;44;53;64;74;79;123;141;177;200;155;201;157;127;139;123;120;140;145;100;247;107;205;169;109;110;100;97;97;74;92;61;66;4140;;;
%;42,5531914893617;37,5;66,6666666666667;70,9677419354839;38,0952380952381;49,2063492063492;63,3333333333333;52,1739130434783;64,4444444444444;53,5087719298246;36,0655737704918;49,0740740740741;58,1818181818182;52,8571428571429;53,7414965986395;56,1643835616438;46,078431372549;43,2762836185819;45,8715596330275;44,5402298850575;47,0725995316159;47,4320241691843;41,7763157894737;43,8485804416404;36,6071428571429;40,2684563758389;43,0769230769231;44,6153846153846;36,6300366300366;25,7291666666667;29,6398891966759;33,442088091354;32,943469785575;19,1901408450704;21,7391304347826;16,0771704180064;18,6897880539499;17,5724637681159;18,6868686868687;18,6991869918699;17,4285714285714;15,5294117647059;32,8571428571429;;;
Nitrates et pesticides;45;66,6666666666667;60;63,6363636363636;37,5;38,7096774193548;36,8421052631579;41,6666666666667;67,2413793103448;54,0983606557377;63,6363636363636;41,5094339622642;56,25;45,9459459459459;50,6329113924051;43,0894308943089;43,2624113475177;38,4180790960452;35;45,1612903225806;41,7910447761194;49,6815286624204;40,1574803149606;40,2877697841727;46,3414634146341;42,5;37,8571428571429;54,4827586206897;48;21,0526315789474;48,5981308411215;35,1219512195122;31,3609467455621;44,0366972477064;34,5454545454545;33;22,680412371134;32,9896907216495;36,4864864864865;36,9565217391304;42,6229508196721;42,4242424242424;40,7246376811594;;;
Microbiologie;20;66,6666666666667;90;13,6363636363636;37,5;19,3548387096774;78,9473684210526;58,3333333333333;13,7931034482759;8,19672131147541;27,2727272727273;39,622641509434;60,9375;45,9459459459459;81,0126582278481;48,780487804878;29,7872340425532;37,2881355932203;20;16,7741935483871;19,9004975124378;15,2866242038217;17,3228346456693;29,4964028776978;24,390243902439;23,3333333333333;30,7142857142857;13,1034482758621;49;17,8137651821862;21,4953271028037;16,0975609756098;10,6508875739645;27,5229357798165;17,2727272727273;17;14,4329896907216;22,680412371134;22,972972972973;;;;24,1304347826087;;;
Qualité autres paramètres ;35;33,3333333333333;40;36,3636363636364;37,5;32,258064516129;47,3684210526316;33,3333333333333;22,4137931034483;21,3114754098361;20,4545454545455;43,3962264150943;35,9375;37,8378378378378;22,7848101265823;25,2032520325203;32,6241134751773;25,4237288135593;35;27,741935483871;25,3731343283582;24,8407643312102;39,3700787401575;30,9352517985612;34,1463414634146;39,1666666666667;32,8571428571429;24,8275862068966;24;61,5384615384615;33,6448598130841;40,9756097560976;42,603550295858;34,8623853211009;35,4545454545455;49;46,3917525773196;47,4226804123711;40,5405405405405;47,8260869565217;21,3114754098361;31,8181818181818;35,1449275362319;;;
